Design and prototype of a six-legged walking insect robot,"S Soyguder, H Alli",1,1,1
New trends in legged robots teleoperation,"A Kheddar, D Atlani, A Iles, P Blazevic",1,1,1
Methodology based on CLC for Control of fast Legged Robots,"N K M'sirdi, N Manamani, N Nadjar-Gauthier",1,1,1
Preliminary Analysis of a Legged Robot Designed to Climb Vertical Surfaces,"Y Li, A Ahmed, C Wu, C Menon",1,1,0
Fuzzy Logic Control Design for a Stair-Climbing Robot,"M S Wang, Y S Kung, Y M Tu",1,1,0
Idea of wheel-legged robot and its control system design,"J Szrek, P Wojtowicz",1,1,0
DESIGN AND SAFETY ANALYSIS OF A PORTABLE CLIMBING ROBOT,"B BAHR, F WU",1,1,0
Wheel-Based Climbing Robot: Modeling and Control,"E Noohi, S S Mahdavi, A Baghani, M N Ahmadabadi",1,1,0
Service robotics in area surveillance: criteria of usefulness,R Cariou,1,1,0
A survey of current architectures for connecting wireless mobile ad hoc networks to the Internet,H M Ammari,1,1,0
Telerobotics: Methodology for the development of Through-the-Internet Robotic Teleoperated System,"A J Alvares, G C de, L SJ Romariz, S CA Alfaro",1,1,0
Networked robotics,"G T McKee, P S Schenker",1,1,0
Cooperative mobile robotics: Antecedents and directions,"Y U Cao, A S Fukunaga, A B Kahng",1,1,0
Mobile autonomous robots - Possibilities and limits,"E Maehle, W Brockmann, A Walthelm",1,1,0
Medical robotics in computer-integrated surgery,"R H Taylor, D Stoianovici",1,1,0
Surgical robotics: An introduction,"U Rembold, C R Burghart",1,1,0
Miniaturized Autonomous Robot,"H Ishihara, T Fukuda",1,1,0
Robot clustering,"C Lee, M Kim, S Kazadi",1,1,0
Robotic cells with parallel machines and multiple dual gripper robots: a comparative overview,"H N Geismar, M Pinedo, C Sriskandarajah",1,1,0
A Spotlight on Security and Privacy Risks with Future Household Robots: Attacks and Lessons,"T Denning, C Matuszek, K Koscher, J R Smith, T Kohno",1,1,0
"A framework for Internet-based interaction of humans, robots, and responsive environments using agent technology","D T Nguyen, S R Oh, B J You",1,1,0
Are parallel robots more accurate than serial robots?,"S Briot, I A Bonev",1,1,0
Outdoor mobile robot learning and adaptation,"H Hagras, V Callaghan, M Colley",1,1,0
Online robot learning by reward and punishment for a mobile robot,"D Suwimonteerabuth, P Chongstitvatana",1,1,0
On the dynamics of robot exploration learning,"J Tani, Y Sugita",1,1,0
Real-time robot learning,"B Bhanu, P Leang, C Cowden, Y Q Lin, M Patterson",1,1,0
LIFELONG ROBOT LEARNING,"S THRUN, T M MITCHELL",1,1,0
Vision processing for robot learning,U Nehmzow,1,1,0
Reinforcement learning for robot control,"W D Smart, L P Kaelbling",1,1,0
Developmental learning for autonomous robots,"M H Lee, Q Meng, F Chao",1,1,0
Supervision of multiple-robot systems,"K Kiriakidis, D Gordon",1,1,0
PQ-Learning: An efficient robot learning method for intelligent behavior acquisition,"W Y Zhu, S Levinson",1,1,0
Towards multimodal neural robot learning,"S Wermter, C Weber, M Elshaw, C Panchev, H Erwin, F Pulvermuller",1,1,0
Active learning for vision-based robot grasping,"M Salganicoff, L H Ungar, R Bajcsy",1,1,0
Emotion and sociable humanoid robots,C Breazeal,1,1,0
Analysis of Humanoid appearances in human-robot interaction,"T Kanda, T Miyashita, T Osada, Y Haikawa, H Ishiguro",1,1,0
Robot fostering techniques for sensory-motor development of humanoid robots,A Stoica,1,1,0
A Survey on the Structures of Current Mobile Humanoid Robots,"J G Wang, Y M Li",1,1,0
User interfaces for robots swarm assistance in emergency settings,"Amir M. Naghsh, Chris R. Roast",1,1,0
Simulation of small humanoid robots for soccer domain,"N Greggio, E Menegatti, G Silvestri, E Pagello",1,1,0
Behavior-based humanoid robotics,R A Brooks,1,1,0
Humanoid robots,Rodney Brooks,1,1,0
Humanoid robotics platforms developed in HRP,"H Hirukawa, F Kanehiro, K Kaneko, S Kajita, K Fujiwara, Y Kawai, F Tomita, S Hirai, K Tanie, T Isozumi, K Akachi, T Kawasaki, S Ota, K Yokoyama, H Handa, Y Fukase, J Maeda, Y Nakamura, S Tachi, H Inoue",1,1,0
From Industrial to Ubiqitous Robots,P Kopacek,1,1,0
DEVELOPMENTS IN INDUSTRIAL ROBOTICS,M WILSON,1,1,0
A survey on mobile robots for industrial inspections,A Kroll,1,1,0
Trends in the robotic simulation industry,"G Ahrens, G Pageau",1,1,0
"Computer vision for space robotics: Applications, role, and performance","P Jasiobedzki, C Anders",1,1,0
Robotics and interactive simulation,"Oussama Khatib, Oliver Brock, Kyong-Sok Chang, Francois Conti, Diego Ruspini, Luis Sentis",1,1,0
Future Trends in Robotic Neurosurgery,"T Haidegger, L Kovacs, G Fordos, Z Benyo, P Kazanzides",1,1,0
Robotized neurosurgery: state of the art and future developments,"A L Benabid, D Hoffmann, A Ashraf, A Koudsie, F Esteve, J F Le-Bas",1,1,0
The Research of Intelligent Control System of Autonomous Mobile Robot,"J Sun, J Q Zhang",1,1,0
Simulation in robotics,L Zlajpah,1,1,0
REALISTIC ROBOT SIMULATION,"R BERNHARDT, G SCHRECK, C WILLNOW",1,1,0
Grasping objects with mobile robots,"O I Sandru, L Vladareanu, A Sandru",1,1,0
Telemedicine and robotics: Paving the way to the globalization of surgery,"S Senapati, A P Advincula",1,1,0
Human-robot collaboration: A survey,"A Bauer, D Wollherr, M Buss",1,1,0
Mobile agents on mobile robotic platforms a survey,"Kevin J. Keen, Letha H. Etzkorn",1,1,0
A survey on the control of flexible joint robots,"S Ozgoli, H D Taghirad",1,1,0
A survey on snake robot modeling and locomotion,"A A Transeth, K Y Pettersen, P Liljeback",1,1,0
A survey on robot appearances,"Astrid Marieke von, Nicole C. Krämer",1,1,0
Execution monitoring in robotics: A survey,A Pettersson,1,1,0
Autonomous search by robots and animals: A survey,"E Gelenbe, N Schmajuk, J Staddon, J Reif",1,1,0
Cooperating multi-robot systems: An overview,"W Lee, B Shirinzadeh",1,1,0
Human Robot Coordination: Panel Overview,Rene J. de,1,1,0
Space and terrestrial service robotics recent technology developments,"W Paetsch, W P Foth, S Walther",1,1,0
Human-robot interfaces for social interaction,"A M Khamis, M S Kamel, M A Salichs",1,1,0
Artificial emotion and social robotics,"F Michaud, P Pirjanian, J Audet, D Letourneau",1,1,0
Affective social robots,"R Kirby, J Forlizzi, R Simmons",1,1,0
Neural networks for mobile robot navigation: A survey,"A M Zou, Z G Hou, S Y Fu, M Tan",1,1,0
APPLICATIONS OF NEURAL NETWORKS TO ROBOTICS,K BERNS,1,1,0
Neural Networks in Mobile Robot Motion,Danica Janglova,1,1,0
"Recent Trends in Humanoid Robotics Research: Scientific Background, Applications, and Implications","J Solis, A Takanishi",1,1,0
Developmental robotics: manifesto and application,"T Elliott, N R Shadbolt",1,1,0
Decision-Making in Robotics,"M A Salichs, M Malfaz, J F Gorostiza",1,1,0
"Free-flying robots in space: an overview of dynamics modeling, planning and control","S AA Moosavian, E Papadopoulos",1,1,0
Artificial Intelligence and Systems Theory: Applied to Cooperative Robots,"Pedro U. Lima, Luis M. M.",1,1,0
A Survey of Multi-Robot Cooperation and Control,T Li,1,1,0
What is robot intelligence?,"H Miura, T Yasuda, Y K Fujisawa, Y Kuwana, S Takeuchi, I Shimoyama",1,1,0
What robots can do: robot programs and effective achievability,"F Z Lin, H J Levesque",1,1,0
Robotics and machine vision for the future - An industrial view,M Ejiri,1,1,0
"Medical robotics: where we come from, where we are and where we could go",Jocelyne Troccaz,1,1,0
Control in robotics: Open problems and future directions,B Siciliano,1,1,0
Rehabilitation robotics: a review,N Tejima,1,1,0
Swarm robotics: From sources of inspiration to domains of application,E Sahin,1,1,0
Control Architecture for autonomous multi-robot system: Survey and Analysis,"Y Yan, Z M Tang",1,1,0
A review of real-time software engineering methodologies for developing a wall-climbing robot control firmware,"D NA Jawawi, S Deris, R Mamat",1,1,0
Dynamic Collaborative Robotic Platform - A Brief Introduction,"J TP Tse, S CF Chan, G Ngai, J CY Cheung, V TY Ng",1,1,0
A STUDY ON DYNAMICALLY RECONFIGURABLE ROBOTIC SYSTEMS - (RECOGNITION AND COMMUNICATION-SYSTEM OF CELL-STRUCTURED ROBOT CEBOT),"T FUKUDA, Y KAWAUCHI, M BUSS, H ASAMA",1,1,0
Current state of the art in distributed autonomous mobile robotics,L E Parker,1,1,0
Coverage for robotics - A survey of recent results,H Choset,1,1,0
"TELEOPERATION, TELEROBOTICS AND TELEPRESENCE - A PROGRESS REPORT",T B SHERIDAN,1,1,0
Application of reinforcement learning in robot soccer,"Y Duan, Q Liu, X H Xu",1,1,0
Machine vision methods for autonomous micro-robotic systems,"B P Amavasai, F Caparrelli, A Selvan, M Boissenin, J R Travis, S Meikle",1,1,0
Study of Image Processing in Robot Visioning,"A Tripathi, D Chourshiya, Y Kumar",1,1,0
First steps of robotic perception: The turning point of the 1990s,B Y Zavidovique,1,1,0
AI and robotics,O M Evans,1,1,0
Robotics,V Wigotsky,1,1,0
Robotic Architectures,"M Mtshali, A Engelbrecht",1,1,0
Robotics for mining,V Konyukh,1,1,0
Construction robotics,T Bock,1,1,0
Robot accuracy,B Greenway,1,1,0
Robot soccer: A multi-robot challenge,M M Veloso,1,1,0
Introduction to a network robot system,"T Akimoto, N Hagita",1,1,0
