A review of ontology based query expansion,"J Bhogal, A Macfarlane, P Smith",1,1,0
Dynamic ontologies on the Web,"J Heflin, J Hendler",1,1,0
A review of ontologies with the Semantic Web in view,Y Ding,1,1,0
A roadmap to ontology specification languages,"O Corcho, A Gomez-Perez",1,1,0
Emerging trends in search user interfaces,Marti A. Hearst,1,1,0
Understanding deep web search interfaces: a survey,"Ritu Khare, Yuan An, Il-Yeol Song",1,1,0
Survey of RDF metadata on the web,A Eberhart,1,1,0
Multimedia document search on the Web,"G Amato, F Rabitti, P Savino",1,1,0
Content-based multimedia information retrieval: State of the art and challenges,"M S Lew, N Sebe, C Djeraba, R Jain",1,1,0
Searching the Web,"Arvind Arasu, Junghoo Cho, Hector Garcia-Molina, Andreas Paepcke, Sriram Raghavan",1,1,0
Semantic-enhanced personalized recommender system,"R Q Wang, F S Kong",1,1,0
"Multimedia search and retrieval: New concepts, system implementation, and application","Q Huang, A Puri, Z Liu",1,1,0
Content-based 3-D model retrieval: A survey,"Y B Yang, H Lin, Y Zhang",1,1,0
"Image Retrieval from the World Wide Web Issues, Techniques, and Systems","M. L. Kherfi, D. Ziou, A. Bernardi",1,1,0
Semantic search,"R. Guha, Rob McCool, Eric Miller",1,1,0
Semantic Web for Search,J Gronski,1,1,0
Search on the semantic Web,"L Ding, T Finin, A Joshi, Y Peng, R Pan, P Reddivari",1,1,0
Introduction to Semantic Search Engine,"J M Kassim, M Rahmany",1,1,0
SemSearch'11 the 4th semantic search workshop,"Thanh Tran, Peter Mika, Haofen Wang, Marko Grobelnik",1,1,0
SemSearch'11: the 4th semantic search workshop,"Thanh Tran, Peter Mika, Haofen Wang, Marko Grobelnik",1,1,0
Towards semantic search,"R Baeza-Yates, M Ciaramita, P Mika, H Zaragoza",1,1,0
The usability of semantic search tools: a review,"V Uren, Y G Lei, V Lopez, H M Liu, E Motta, M Giordanino",1,1,0
Intelligent Search Machine with the Semantic Support,"S Dvorscak, K Machova",1,1,0
SemSearch: A search engine for the semantic web,"Y G Lei, V Uren, E Motta",1,1,0
An enhanced model for searching in semantic portals,"Lei Zhang, Yong Yu, Jian Zhou, ChenXi Lin, Yin Yang",1,1,0
Inductive reasoning and semantic web search,"Claudia d'Amato, Floriana Esposito, Nicola Fanizzi, Bettina Fazzinga, Georg Gottlob, Thomas Lukasiewicz",1,1,0
Image Semantic Search Engine,"C Q Lv, T Kobayashi, K Agusa, K Wu, Q Zhu",1,1,0
