username methodID topicID nOfLogs SelectedLog LogStartTimeStamp LogEndTimeStamp nQueries
sigir12 1 100 1 0 "2013-01-10 14:30:48" "2013-01-10 15:01:58" 6
sigir14 1 100 1 0 "2013-01-11 15:24:01" "2013-01-11 16:08:48" 7
sigir16 1 100 1 0 "2013-01-10 16:18:53" "2013-01-10 16:53:56" 12
sigir18 1 100 1 0 "2013-01-11 13:26:09" "2013-01-11 13:56:15" 17
sigir20 1 100 3 2 "2013-01-15 11:35:16" "2013-01-15 12:20:50" 7
sigir11 2 100 1 0 "2013-01-09 15:39:06" "2013-01-09 16:13:06" 5
sigir13 2 100 1 0 "2013-01-10 14:15:18" "2013-01-10 15:03:11" 13
sigir15 2 100 1 0 "2013-01-11 10:02:54" "2013-01-11 10:33:19" 8
sigir17 2 100 3 0 "2013-01-11 11:33:48" "2013-01-11 12:04:10" 9
sigir19 2 100 3 2 "2013-01-14 14:31:56" "2013-01-14 15:03:07" 9
sigir2 1 101 1 0 "2013-01-10 10:16:35" "2013-01-10 11:08:52" 7
sigir4 1 101 1 0 "2013-01-11 08:50:34" "2013-01-11 09:42:14" 1
sigir6 1 101 1 0 "2013-01-11 14:14:33" "2013-01-11 15:08:10" 4
sigir8 1 101 1 0 "2013-01-11 11:48:56" "2013-01-11 12:19:08" 6
sigir31 1 101 1 0 "2013-01-16 09:25:25" "2013-01-16 09:56:22" 4
sigir1 2 101 1 0 "2013-01-09 16:09:35" "2013-01-09 16:41:48" 14
sigir3 2 101 1 0 "2013-01-11 10:56:24" "2013-01-11 11:48:13" 2
sigir5 2 101 1 0 "2013-01-11 12:03:37" "2013-01-11 12:58:51" 10
sigir7 2 101 2 1 "2013-01-11 10:39:58" "2013-01-11 11:10:19" 5
sigir32 2 101 1 0 "2013-01-17 09:41:43" "2013-01-17 10:19:09" 3
iuitest1 0 100 3 1 "2012-10-09 00:14:39" "2012-10-09 00:40:36" 9
iuitest2 0 100 1 0 "2012-10-09 13:37:41" "None" 15
iuitest3 0 100 1 0 "2012-10-09 14:20:39" "None" 2
iuitest4 0 100 1 0 "2012-10-09 15:02:27" "2012-10-09 15:15:31" 5
iuitest5 0 100 1 0 "2012-10-10 02:09:12" "None" 4
iuitest11 0 101 1 0 "2012-10-08 11:03:10" "2012-10-08 11:39:01" 12
iuitest12 0 101 1 0 "2012-10-08 12:19:35" "2012-10-08 12:51:06" 10
iuitest13 0 101 1 0 "2012-10-08 13:58:33" "None" 7
iuitest14 0 101 1 0 "2012-10-09 11:34:59" "2012-10-09 12:08:43" 4
iuitest15 0 101 1 0 "2012-10-09 13:12:28" "2012-10-09 13:44:59" 12
